secuencia,fecha,hora,latitud,l,longitud,altitud
11795,05/06/2012,06:38:57,19.468053,99.140474,-99.140474,2239.533203
11796,05/06/2012,06:38:58,19.468052,99.140476,-99.140476,2239.547363
11797,05/06/2012,06:38:59,19.468041,99.140483,-99.140483,2239.797363
11798,05/06/2012,06:39:00,19.468029,99.140495,-99.140495,2240.242188
11799,05/06/2012,06:39:01,19.468012,99.140504,-99.140504,2240.644531
11800,05/06/2012,06:39:02,19.467989,99.140512,-99.140512,2241.227539
11801,05/06/2012,06:39:03,19.467963,99.140527,-99.140527,2241.155029
11802,05/06/2012,06:39:04,19.46793,99.140546,-99.140546,2241.38501
11803,05/06/2012,06:39:05,19.467907,99.140566,-99.140566,2241.4104
11804,05/06/2012,06:39:06,19.467883,99.140591,-99.140591,2240.53833
11805,05/06/2012,06:39:07,19.467855,99.140612,-99.140612,2240.378662
11806,05/06/2012,06:39:08,19.467823,99.140646,-99.140646,2240.901611
11807,05/06/2012,06:39:09,19.467788,99.14068,-99.14068,2241.030762
11808,05/06/2012,06:39:10,19.467742,99.140714,-99.140714,2241.543701
11809,05/06/2012,06:39:11,19.4677,99.140749,-99.140749,2241.786377
11810,05/06/2012,06:39:12,19.467657,99.140781,-99.140781,2241.723389
11811,05/06/2012,06:39:13,19.467612,99.140819,-99.140819,2240.721191
11812,05/06/2012,06:39:14,19.467561,99.140859,-99.140859,2239.68335
11813,05/06/2012,06:39:15,19.467507,99.140903,-99.140903,2238.978271
11814,05/06/2012,06:39:16,19.467452,99.140948,-99.140948,2238.787109
11815,05/06/2012,06:39:17,19.467394,99.140995,-99.140995,2238.666992
11816,05/06/2012,06:39:18,19.467331,99.141046,-99.141046,2238.548828
11817,05/06/2012,06:39:19,19.46727,99.141096,-99.141096,2238.287598
11818,05/06/2012,06:39:20,19.467212,99.14114,-99.14114,2238.850342
11819,05/06/2012,06:39:21,19.467158,99.141186,-99.141186,2239.207031
11820,05/06/2012,06:39:22,19.467109,99.141228,-99.141228,2237.483398
11821,05/06/2012,06:39:23,19.46708,99.141269,-99.141269,2238.424072
11822,05/06/2012,06:39:24,19.467063,99.14131,-99.14131,2239.149414
11823,05/06/2012,06:39:25,19.467062,99.141348,-99.141348,2239.372314
11824,05/06/2012,06:39:26,19.467067,99.141389,-99.141389,2239.414063
11825,05/06/2012,06:39:27,19.467078,99.141429,-99.141429,2239.324951
11826,05/06/2012,06:39:28,19.467086,99.141475,-99.141475,2239.025879
11827,05/06/2012,06:39:29,19.467092,99.141524,-99.141524,2239.072754
11828,05/06/2012,06:39:30,19.467104,99.141582,-99.141582,2237.281006
11829,05/06/2012,06:39:31,19.467113,99.141636,-99.141636,2236.029053
11830,05/06/2012,06:39:32,19.467117,99.141688,-99.141688,2235.635742
11831,05/06/2012,06:39:33,19.46712,99.141743,-99.141743,2235.644287
11832,05/06/2012,06:39:34,19.467133,99.141813,-99.141813,2234.96167
11833,05/06/2012,06:39:35,19.467141,99.141889,-99.141889,2234.758789
11834,05/06/2012,06:39:36,19.467147,99.141962,-99.141962,2234.696045
11835,05/06/2012,06:39:37,19.467155,99.142039,-99.142039,2235.094971
11836,05/06/2012,06:39:38,19.467161,99.142117,-99.142117,2235.033691
11837,05/06/2012,06:39:39,19.46717,99.142201,-99.142201,2235.40918
11838,05/06/2012,06:39:40,19.467179,99.142293,-99.142293,2235.715332
11839,05/06/2012,06:39:41,19.467183,99.142398,-99.142398,2237.015625
11840,05/06/2012,06:39:42,19.467193,99.142498,-99.142498,2237.184082
11841,05/06/2012,06:39:43,19.467204,99.142598,-99.142598,2237.521484
11842,05/06/2012,06:39:44,19.467207,99.142696,-99.142696,2238.693115
11843,05/06/2012,06:39:45,19.467217,99.142792,-99.142792,2238.9375
11844,05/06/2012,06:39:46,19.467228,99.142883,-99.142883,2238.504395
11845,05/06/2012,06:39:47,19.467239,99.14296,-99.14296,2238.220459
11846,05/06/2012,06:39:48,19.467247,99.143022,-99.143022,2239.0354
11847,05/06/2012,06:39:49,19.467259,99.143072,-99.143072,2239.168701
11848,05/06/2012,06:39:50,19.467266,99.143106,-99.143106,2239.07959
11849,05/06/2012,06:39:51,19.467271,99.14312,-99.14312,2239.51709
11850,05/06/2012,06:41:01,19.467284,99.143126,-99.143126,2239.510742
11851,05/06/2012,06:41:02,19.467284,99.143129,-99.143129,2239.52002
11852,05/06/2012,06:41:03,19.467284,99.143142,-99.143142,2239.625244
11853,05/06/2012,06:41:04,19.467287,99.143164,-99.143164,2239.753662
11854,05/06/2012,06:41:05,19.46729,99.143188,-99.143188,2240.262695
11855,05/06/2012,06:41:06,19.467295,99.143218,-99.143218,2240.554688
11856,05/06/2012,06:41:07,19.467295,99.143246,-99.143246,2240.806885
11857,05/06/2012,06:41:08,19.467297,99.143279,-99.143279,2241.265869
11858,05/06/2012,06:41:09,19.467301,99.143319,-99.143319,2241.013184
11859,05/06/2012,06:41:10,19.467305,99.143358,-99.143358,2241.131836
11860,05/06/2012,06:41:11,19.467308,99.143402,-99.143402,2241.226318
11861,05/06/2012,06:41:12,19.467317,99.143455,-99.143455,2239.964111
11862,05/06/2012,06:41:13,19.467323,99.143506,-99.143506,2240.018799
11863,05/06/2012,06:41:14,19.467324,99.143555,-99.143555,2240.114746
11864,05/06/2012,06:41:15,19.467317,99.143603,-99.143603,2240.336182
11865,05/06/2012,06:41:16,19.467296,99.143642,-99.143642,2240.702148
11866,05/06/2012,06:41:17,19.467262,99.143678,-99.143678,2240.763184
11867,05/06/2012,06:41:18,19.467214,99.143704,-99.143704,2240.62793
11868,05/06/2012,06:41:19,19.467157,99.143717,-99.143717,2240.444336
11869,05/06/2012,06:41:20,19.467093,99.143715,-99.143715,2240.568604
11870,05/06/2012,06:41:21,19.467024,99.143702,-99.143702,2240.295898
11871,05/06/2012,06:41:22,19.466959,99.143685,-99.143685,2239.493896
11872,05/06/2012,06:41:23,19.46689,99.143666,-99.143666,2239.518311
11873,05/06/2012,06:41:24,19.466825,99.143647,-99.143647,2238.530029
11874,05/06/2012,06:41:25,19.466756,99.143629,-99.143629,2238.381104
11875,05/06/2012,06:41:26,19.466693,99.143617,-99.143617,2237.901367
11876,05/06/2012,06:41:27,19.46664,99.143603,-99.143603,2237.617432
11877,05/06/2012,06:41:28,19.466602,99.143591,-99.143591,2237.057861
11878,05/06/2012,06:41:29,19.466581,99.143578,-99.143578,2237.36792
11879,05/06/2012,06:41:44,19.466561,99.143565,-99.143565,2236.7771
11880,05/06/2012,06:41:45,19.466556,99.143564,-99.143564,2236.758057
11881,05/06/2012,06:41:46,19.46655,99.143561,-99.143561,2236.804199
11882,05/06/2012,06:41:47,19.46654,99.143557,-99.143557,2236.752441
11883,05/06/2012,06:41:48,19.466525,99.143554,-99.143554,2236.750488
11884,05/06/2012,06:41:49,19.46651,99.143553,-99.143553,2236.906982
11885,05/06/2012,06:41:50,19.466493,99.143551,-99.143551,2237.049561
11886,05/06/2012,06:41:51,19.466477,99.143545,-99.143545,2237.307861
11887,05/06/2012,06:41:52,19.466466,99.143542,-99.143542,2237.315186
11888,05/06/2012,06:41:53,19.466458,99.143541,-99.143541,2237.450195
11889,05/06/2012,06:41:54,19.466446,99.143534,-99.143534,2237.531006
11890,05/06/2012,06:41:55,19.466432,99.143524,-99.143524,2237.597412
11891,05/06/2012,06:41:56,19.466418,99.143516,-99.143516,2238.118896
11892,05/06/2012,06:41:57,19.4664,99.143504,-99.143504,2238.508301
11893,05/06/2012,06:41:58,19.466381,99.143495,-99.143495,2238.489014
11894,05/06/2012,06:41:59,19.466358,99.143483,-99.143483,2238.411133
11895,05/06/2012,06:42:00,19.466326,99.14347,-99.14347,2238.618896
11896,05/06/2012,06:42:01,19.466292,99.143457,-99.143457,2238.624512
11897,05/06/2012,06:42:02,19.466259,99.143443,-99.143443,2237.960449
11898,05/06/2012,06:42:03,19.466224,99.143432,-99.143432,2238.262451
11899,05/06/2012,06:42:04,19.466187,99.143421,-99.143421,2237.878174
11900,05/06/2012,06:42:05,19.466142,99.143414,-99.143414,2238.214111
11901,05/06/2012,06:42:06,19.466095,99.143397,-99.143397,2238.798828
11902,05/06/2012,06:42:07,19.466046,99.143382,-99.143382,2238.673096
11903,05/06/2012,06:42:08,19.465997,99.143365,-99.143365,2238.164307
11904,05/06/2012,06:42:09,19.465948,99.143346,-99.143346,2237.983154
11905,05/06/2012,06:42:10,19.465896,99.14333,-99.14333,2237.934326
11906,05/06/2012,06:42:11,19.465841,99.143309,-99.143309,2238.547607
11907,05/06/2012,06:42:12,19.465781,99.143288,-99.143288,2239.658691
11908,05/06/2012,06:42:13,19.465732,99.143271,-99.143271,2240.14502
11909,05/06/2012,06:42:14,19.465689,99.143256,-99.143256,2240.287598
11910,05/06/2012,06:42:15,19.465655,99.143241,-99.143241,2240.875
11911,05/06/2012,06:42:16,19.465634,99.143233,-99.143233,2241.425537
11912,05/06/2012,06:42:17,19.465626,99.143233,-99.143233,2241.871582
11913,05/06/2012,06:42:18,19.465619,99.143233,-99.143233,2242.109619
11914,05/06/2012,06:42:19,19.465612,99.143234,-99.143234,2242.507568
11915,05/06/2012,06:42:20,19.4656,99.143229,-99.143229,2242.803711
11916,05/06/2012,06:42:21,19.46558,99.143221,-99.143221,2243.146484
11917,05/06/2012,06:42:22,19.465556,99.143214,-99.143214,2243.679443
11918,05/06/2012,06:42:23,19.465528,99.143204,-99.143204,2244.738525
11919,05/06/2012,06:42:24,19.465498,99.143196,-99.143196,2245.181396
11920,05/06/2012,06:42:25,19.465463,99.14319,-99.14319,2245.591309
11921,05/06/2012,06:42:26,19.465423,99.143186,-99.143186,2245.339111
11922,05/06/2012,06:42:27,19.465376,99.143187,-99.143187,2245.270264
11923,05/06/2012,06:42:28,19.465329,99.143198,-99.143198,2244.765625
11924,05/06/2012,06:42:29,19.46528,99.143213,-99.143213,2245.060547
11925,05/06/2012,06:42:30,19.465241,99.143233,-99.143233,2245.240479
11926,05/06/2012,06:42:31,19.465202,99.143269,-99.143269,2245.311279
11927,05/06/2012,06:42:32,19.465171,99.143318,-99.143318,2243.932861
11928,05/06/2012,06:42:33,19.465136,99.143373,-99.143373,2244.39624
11929,05/06/2012,06:42:34,19.465106,99.143435,-99.143435,2243.938721
11930,05/06/2012,06:42:35,19.465084,99.143501,-99.143501,2243.087646
11931,05/06/2012,06:42:36,19.465061,99.143566,-99.143566,2242.878174
11932,05/06/2012,06:42:37,19.465041,99.143636,-99.143636,2243.543701
11933,05/06/2012,06:42:38,19.465021,99.143712,-99.143712,2242.888184
11934,05/06/2012,06:42:39,19.464994,99.143793,-99.143793,2243.273926
11935,05/06/2012,06:42:40,19.464971,99.143872,-99.143872,2243.098389
11936,05/06/2012,06:42:41,19.464949,99.143953,-99.143953,2242.608643
11937,05/06/2012,06:42:42,19.464925,99.144036,-99.144036,2242.466309
11938,05/06/2012,06:42:43,19.464907,99.144122,-99.144122,2242.429688
11939,05/06/2012,06:42:44,19.464881,99.144211,-99.144211,2242.678711
11940,05/06/2012,06:42:45,19.464853,99.144303,-99.144303,2242.916016
11941,05/06/2012,06:42:46,19.464826,99.144396,-99.144396,2243.218994
11942,05/06/2012,06:42:47,19.464799,99.144486,-99.144486,2242.942139
11943,05/06/2012,06:42:48,19.464772,99.144573,-99.144573,2243.435547
11944,05/06/2012,06:42:49,19.46475,99.144655,-99.144655,2243.272461
11945,05/06/2012,06:42:50,19.464728,99.144729,-99.144729,2243.454346
11946,05/06/2012,06:42:51,19.464709,99.144801,-99.144801,2243.248291
11947,05/06/2012,06:42:52,19.464686,99.144863,-99.144863,2243.670166
11948,05/06/2012,06:42:53,19.464666,99.144921,-99.144921,2243.828613
11949,05/06/2012,06:42:54,19.464651,99.144973,-99.144973,2243.694824
11950,05/06/2012,06:42:55,19.464637,99.145017,-99.145017,2243.710693
11951,05/06/2012,06:42:56,19.464625,99.145058,-99.145058,2243.685547
11952,05/06/2012,06:42:57,19.464613,99.145099,-99.145099,2243.931396
11953,05/06/2012,06:42:58,19.464601,99.145135,-99.145135,2244.058594
11954,05/06/2012,06:42:59,19.464594,99.145173,-99.145173,2244.096924
11955,05/06/2012,06:43:00,19.464585,99.145211,-99.145211,2244.137207
11956,05/06/2012,06:43:01,19.464571,99.145252,-99.145252,2244.478516
11957,05/06/2012,06:43:02,19.464559,99.1453,-99.1453,2244.402344
11958,05/06/2012,06:43:03,19.464548,99.145347,-99.145347,2244.797852
11959,05/06/2012,06:43:04,19.464543,99.145392,-99.145392,2244.754395
11960,05/06/2012,06:43:05,19.464539,99.145432,-99.145432,2244.807861
11961,05/06/2012,06:43:06,19.464533,99.145462,-99.145462,2245.007568
11962,05/06/2012,06:43:07,19.464524,99.145482,-99.145482,2245.057373
11963,05/06/2012,06:43:08,19.46452,99.145493,-99.145493,2245.722412
11964,05/06/2012,06:45:02,19.464518,99.145493,-99.145493,2246.731934
11965,05/06/2012,06:45:03,19.464517,99.145498,-99.145498,2246.734131
11966,05/06/2012,06:45:04,19.464512,99.145514,-99.145514,2246.583252
11967,05/06/2012,06:45:05,19.464506,99.14553,-99.14553,2246.465088
11968,05/06/2012,06:45:06,19.464501,99.145545,-99.145545,2246.954102
11969,05/06/2012,06:45:07,19.464491,99.145559,-99.145559,2247.31665
11970,05/06/2012,06:45:08,19.464481,99.145578,-99.145578,2247.300537
11971,05/06/2012,06:45:09,19.46447,99.145594,-99.145594,2247.424561
11972,05/06/2012,06:45:10,19.464467,99.145611,-99.145611,2247.753662
11973,05/06/2012,06:45:11,19.464464,99.145623,-99.145623,2248.104004
11974,05/06/2012,06:45:12,19.464459,99.145632,-99.145632,2248.501465
11975,05/06/2012,06:45:13,19.464452,99.145643,-99.145643,2248.51709
11976,05/06/2012,06:45:14,19.464445,99.14566,-99.14566,2248.702881
11977,05/06/2012,06:45:15,19.464436,99.145683,-99.145683,2248.82666
11978,05/06/2012,06:45:16,19.464427,99.145706,-99.145706,2249.289307
11979,05/06/2012,06:45:17,19.464419,99.145737,-99.145737,2249.303711
11980,05/06/2012,06:45:18,19.464406,99.145771,-99.145771,2249.507324
11981,05/06/2012,06:45:19,19.464393,99.145809,-99.145809,2249.30542
11982,05/06/2012,06:45:20,19.464379,99.145848,-99.145848,2249.611328
11983,05/06/2012,06:45:21,19.464364,99.145896,-99.145896,2250.112549
11984,05/06/2012,06:45:22,19.464346,99.14595,-99.14595,2250.738037
11985,05/06/2012,06:45:23,19.464331,99.146002,-99.146002,2250.64624
11986,05/06/2012,06:45:24,19.464311,99.146058,-99.146058,2250.622314
11987,05/06/2012,06:45:25,19.46429,99.146117,-99.146117,2251.086182
11988,05/06/2012,06:45:26,19.46427,99.146182,-99.146182,2251.307617
11989,05/06/2012,06:45:27,19.464247,99.146253,-99.146253,2251.652344
11990,05/06/2012,06:45:28,19.464225,99.146322,-99.146322,2251.744141
11991,05/06/2012,06:45:29,19.464208,99.146394,-99.146394,2250.780029
11992,05/06/2012,06:45:30,19.464183,99.146466,-99.146466,2250.574219
11993,05/06/2012,06:45:31,19.464158,99.146547,-99.146547,2250.352295
11994,05/06/2012,06:45:32,19.464134,99.14663,-99.14663,2250.104736
11995,05/06/2012,06:45:33,19.464111,99.146709,-99.146709,2249.628418
11996,05/06/2012,06:45:34,19.464091,99.146787,-99.146787,2248.771973
11997,05/06/2012,06:45:35,19.464074,99.146857,-99.146857,2247.772461
11998,05/06/2012,06:45:36,19.464057,99.146919,-99.146919,2247.523926
11999,05/06/2012,06:45:37,19.464037,99.146979,-99.146979,2247.136475
