FECHA;HORA;LATITUD;LONGITUD;ALTITUD;VELOCIDAD;CONSUMO_TOTAL;CPNSUMO_INSTANTANEO;
15/8/17;10:13:32;-2.897.413;-79.022.911;1000000.00;0.00;0.00;0.00;
15/8/17;10:13:37;-2.897.413;-79.022.903;2585.00;0.04;0.00;0.00;
15/8/17;10:13:38;-2.897.415;-79.022.911;2584.60;0.04;0.00;0.00;
15/8/17;10:13:42;-2.897.416;-79.022.903;2584.80;0.02;0.00;0.00;
15/8/17;10:13:47;-2.897.414;-79.022.903;2583.80;0.00;0.00;0.00;
15/8/17;10:14:00;-2.897.404;-79.022.896;2579.10;0.04;0.00;0.00;
15/8/17;10:14:03;-2.897.403;-79.022.896;2578.00;0.07;0.00;0.00;
15/8/17;10:14:08;-2.897.402;-79.022.896;2577.10;0.09;0.00;0.00;
15/8/17;10:14:11;-2.897.403;-79.022.896;2576.70;0.00;0.00;0.00;
15/8/17;10:14:14;-2.897.404;-79.022.903;2576.50;0.04;0.00;0.00;
15/8/17;10:14:18;-2.897.409;-79.022.903;2575.80;1.93;0.00;0.00;
15/8/17;10:14:21;-2.897.443;-79.022.919;2575.40;4.43;0.00;0.00;
15/8/17;10:14:24;-2.897.460;-79.022.926;2575.10;4.43;0.00;0.00;
15/8/17;10:14:27;-2.897.492;-79.022.980;2575.10;14.32;0.00;0.00;
15/8/17;10:14:30;-2.897.491;-79.023.102;2575.00;19.35;0.00;0.00;
15/8/17;10:14:33;-2.897.458;-79.023.285;2575.20;27.74;0.00;0.00;
15/8/17;10:14:38;-2.897.403;-79.023.613;2578.20;22.48;0.00;0.00;
15/8/17;10:14:41;-2.897.374;-79.023.781;2579.80;23.13;0.00;0.00;
15/8/17;10:14:49;-2.897.308;-79.024.269;2582.70;22.26;0.00;0.00;
15/8/17;10:14:52;-2.897.289;-79.024.414;2582.20;15.56;0.00;0.00;
15/8/17;10:15:54;-2.897.037;-79.024.872;2590.10;0.24;0.00;0.00;
15/8/17;10:16:01;-2.897.025;-79.024.849;2580.80;0.31;0.00;0.00;
15/8/17;10:16:03;-2.897.024;-79.024.849;2580.80;0.17;0.00;0.00;
15/8/17;10:16:06;-2.897.025;-79.024.849;2580.40;0.43;0.00;0.00;
15/8/17;10:16:08;-2.897.026;-79.024.849;2579.90;0.00;3082.93;1.00;
15/8/17;10:16:10;-2.897.027;-79.024.849;2579.90;1.00;3082.93;1.00;
15/8/17;10:16:12;-2.897.024;-79.024.857;2579.90;1.35;3082.93;1.05;
15/8/17;10:16:21;-2.896.760;-79.025.047;2579.90;22.89;3082.94;2.60;
15/8/17;10:16:23;-2.896.759;-79.025.162;2579.90;21.71;0.00;0.00;
15/8/17;10:16:24;-2.896.756;-79.025.208;2593.20;21.71;0.00;0.00;
15/8/17;10:20:02;-2.906.951;-79.033.585;2589.60;0.04;3082.94;1.65;
15/8/17;10:20:04;-2.906.952;-79.033.585;2589.60;0.06;3083.07;0.75;
15/8/17;10:20:06;-2.906.953;-79.033.577;2589.60;0.00;3083.07;0.75;
15/8/17;10:20:08;-2.906.953;-79.033.577;2589.60;0.07;3083.07;0.75;
15/8/17;10:20:10;-2.906.954;-79.033.577;2589.60;0.09;3083.07;0.70;
15/8/17;10:20:12;-2.906.970;-79.033.577;2589.60;7.20;3083.07;0.70;
15/8/17;10:20:14;-2.907.025;-79.033.600;2589.60;16.45;3083.07;2.05;
15/8/17;10:20:38;-2.908.886;-79.034.607;2589.60;27.93;3083.07;2.05;
15/8/17;10:20:39;-2.908.914;-79.034.698;2589.60;23.98;3083.10;1.15;
15/8/17;10:20:42;-2.909.034;-79.034.653;2589.60;18.54;3083.10;0.10;
15/8/17;10:20:44;-2.909.115;-79.034.698;2589.60;16.46;3083.10;0.10;
15/8/17;10:20:46;-2.909.182;-79.034.744;2589.60;19.15;3083.10;1.25;
15/8/17;10:20:48;-2.909.315;-79.034.775;2589.60;23.02;3083.10;6.20;
