latitude,longitude,height,distance,sum_distance,slope,date,utm_x,utm_y,velocidad_gps,consumo_total,consumo_inst,ds,velocidad
-3.479121,-79.170212,2350.3,37.377786408496014,387.7083359201266,0.0,12:08:55,703271.3726213071,9615250.830060033,67.75,3092.02,13.75,2,18.688893204248007
-3.479454,-79.170303,2350.3,38.199941331162805,425.9082772512894,0.0,12:08:57,703261.1885894662,9615214.023034694,69.02,3092.03,14.45,2,19.099970665581402
-3.479791,-79.170395,2350.3,38.65593854714871,464.5642157984381,0.0,12:08:59,703250.8925729604,9615176.773865437,69.49,3092.04,16.45,2,19.327969273574354
-3.480132,-79.170486,2350.3,39.05378290146612,503.6179986999042,0.0,12:09:01,703240.7068272837,9615139.082121404,70.25,3092.05,16.0,2,19.52689145073306
-3.480472,-79.170586,2350.3,39.21862889419563,542.8366275940998,0.0,12:09:03,703229.5211474387,9615101.502909781,69.73,3092.06,16.05,2,19.609314447097816
-3.480808,-79.17067,2350.3,38.323039289473165,581.159666883573,0.0,12:09:05,703220.114369267,9615064.362614898,68.95,3092.07,16.15,2,19.161519644736583
-3.481139,-79.170769,2350.3,38.23302765062078,619.3926945341938,0.0,12:09:07,703209.0417494419,9615027.778507242,67.62,3092.08,15.5,2,19.11651382531039
-3.481467,-79.170837,2350.3,37.06249755319349,656.4551920873872,0.0,12:09:09,703201.4147289853,9614991.519492723,66.36,3092.09,15.55,2,18.531248776596744
-3.481795,-79.170883,2350.3,36.64216111232335,693.0973531997106,0.0,12:09:11,703196.2325128767,9614955.255738588,65.32,3092.09,15.6,2,18.321080556161675
-3.482119,-79.170883,2350.3,35.84137345177015,728.9387266514807,0.0,12:09:13,703196.1630159728,9614919.424432533,64.08,3092.1,16.1,2,17.920686725885076
-3.482435,-79.170837,2350.3,35.328543462196706,764.2672701136773,0.0,12:09:15,703201.2070913871,9614884.46793363,62.8,3092.11,15.4,2,17.664271731098353
-3.482738,-79.170769,2350.3,34.36046696930063,798.627737082978,0.0,12:09:17,703208.6987497591,9614850.944365267,61.86,3092.12,14.95,2,17.180233484650316
-3.483029,-79.170662,2384.3,34.31832856102278,832.9460656440008,0.9907242405335461,12:09:19,703220.52694109,9614818.7394697,61.86,3092.13,14.8,2,17.15916428051139
